SK_ID_CURR,TARGET
100001,0.03
100005,0.18
100013,0.05
100028,0.1
100038,0.14
100042,0.13
100057,0.0
100065,0.14
100066,0.02
100067,0.2
100074,0.14
100090,0.05
100091,0.17
100092,0.21
100106,0.17
100107,0.14
100109,0.14
100117,0.05
100128,0.09
100141,0.0
100150,0.07
100168,0.01
100169,0.2
100170,0.08
100171,0.08
100172,0.04
100184,0.1
100187,0.09
100212,0.17
100222,0.1
100223,0.04
100232,0.01
100241,0.15
100245,0.05
100253,0.03
100256,0.14
100271,0.01
100278,0.27
100280,0.0
100306,0.18
100311,0.22
100312,0.08
100330,0.15
100331,0.02
100352,0.09
100358,0.11
100367,0.04
100382,0.19
100384,0.12
100385,0.1
100386,0.07
100399,0.03
100404,0.21
100416,0.06
100422,0.16
100426,0.09
100438,0.06
100444,0.17
100445,0.22
100446,0.22
100447,0.03
100450,0.09
100466,0.01
100483,0.0
100484,0.05
100494,0.15
100510,0.21
100512,0.07
100517,0.06
100548,0.12
100551,0.08
100552,0.25
100553,0.08
100561,0.25
100568,0.43
100569,0.08
100591,0.11
100592,0.02
100602,0.08
100607,0.06
100613,0.15
100617,0.14
100618,0.09
100622,0.09
100625,0.19
100677,0.21
100699,0.05
100702,0.5
100711,0.15
100729,0.11
100740,0.09
100744,0.12
100745,0.12
100747,0.1
100751,0.45
100752,0.05
100753,0.25
100754,0.26
100760,0.04
100762,0.07
100763,0.17
100765,0.01
100770,0.1
100772,0.06
100777,0.02
100791,0.02
100792,0.0
100797,0.02
100823,0.04
100826,0.04
100830,0.08
100836,0.25
100872,0.16
100910,0.07
100913,0.41
100918,0.11
100931,0.02
100952,0.05
100953,0.14
100965,0.33
100970,0.02
100982,0.06
100983,0.33
100984,0.12
100987,0.06
100997,0.07
100998,0.15
101002,0.1
101005,0.3
101008,0.16
101020,0.1
101021,0.05
101024,0.21
101025,0.13
101026,0.08
101031,0.01
101041,0.04
101051,0.06
101055,0.14
101056,0.26
101057,0.07
101064,0.11
101079,0.16
101087,0.08
101090,0.02
101092,0.19
101097,0.08
101099,0.04
101107,0.11
101118,0.1
101125,0.16
101126,0.03
101128,0.01
101136,0.2
101140,0.21
101149,0.13
101160,0.11
101169,0.28
101181,0.06
101186,0.02
101190,0.18
101193,0.12
101194,0.26
101198,0.16
101200,0.1
101204,0.05
101211,0.08
101213,0.1
101223,0.02
101225,0.05
101237,0.13
101243,0.04
101244,0.22
101258,0.04
101259,0.23
101268,0.12
101269,0.04
101271,0.14
101279,0.12
101281,0.14
101287,0.03
101292,0.07
101294,0.07
101296,0.08
101297,0.05
101299,0.2
101301,0.13
101305,0.26
101308,0.24
101318,0.02
101327,0.33
101329,0.03
101332,0.08
101337,0.1
101343,0.08
101345,0.04
101346,0.05
101353,0.05
101354,0.14
101355,0.27
101356,0.02
101362,0.03
101363,0.3
101365,0.0
101366,0.16
101367,0.11
101368,0.03
101374,0.19
101380,0.03
101383,0.02
101398,0.02
101399,0.39
101401,0.22
101412,0.12
101426,0.04
101427,0.4
101428,0.32
101429,0.15
101434,0.04
101440,0.02
101448,0.04
101449,0.1
101465,0.11
101467,0.03
101472,0.13
101478,0.29
101497,0.11
101504,0.26
101547,0.05
101548,0.1
101555,0.22
101570,0.0
101572,0.13
101578,0.06
101580,0.41
101588,0.25
101602,0.05
101610,0.29
101614,0.11
101616,0.09
101643,0.06
101644,0.06
101649,0.23
101650,0.06
101665,0.01
101667,0.06
101669,0.08
101674,0.17
101675,0.03
101678,0.09
101682,0.18
101686,0.05
101697,0.24
101700,0.4
101711,0.13
101714,0.06
101715,0.19
